index,date,crypto_name,direction,signal_type,status,price_buy,stop_price,qtd
76611,2022-10-03 01:46:05+00:00,AXSUSDT,OPEN_ORDER,CLOSE,,,,
76613,2022-10-03 01:46:24+00:00,EOSUSDT,LONG,CLOSE,SELL,0.0,0.0,0.0
76615,2022-10-03 01:46:53+00:00,SUSHIUSDT,LONG,CLOSE,SELL,0.0,0.0,0.0
76619,2022-10-03 01:47:06+00:00,TRXUSDT,LONG,CLOSE,SELL,0.0,0.0,0.0
76617,2022-10-03 01:47:00+00:00,SKLUSDT,LONG,CLOSE,SELL,0.0,0.0,0.0
76622,2022-10-03 01:47:41+00:00,BATUSDT,LONG,CLOSE,SELL,0.0,0.0,0.0
76624,2022-10-03 01:47:58+00:00,GTCUSDT,OPEN_ORDER,CLOSE,,,,
76627,2022-10-03 01:48:32+00:00,STORJUSDT,LONG,CLOSE,SELL,0.0,0.0,0.0
76634,2022-10-03 01:50:05+00:00,MATICUSDT,LONG,NEW,,,,
76633,2022-10-03 01:50:04+00:00,1INCHUSDT,LONG,NEW,,,,
76632,2022-10-03 01:50:04+00:00,COMPUSDT,LONG,NEW,BUY,58.99,57.22,4.77
76636,2022-10-03 01:50:07+00:00,AVAXUSDT,LONG,NEW,,,,
76635,2022-10-03 01:50:06+00:00,1INCHUSDT,LONG,NEW,BUY,0.561,0.5442,501.0
76642,2022-10-03 01:50:29+00:00,FTMUSDT,LONG,NEW,,,,
76641,2022-10-03 01:50:28+00:00,HBARUSDT,LONG,NEW,,,,
76639,2022-10-03 01:50:25+00:00,FILUSDT,LONG,NEW,BUY,5.45,5.29,51.0
76645,2022-10-03 01:50:42+00:00,DOTUSDT,LONG,NEW,,,,
76643,2022-10-03 01:50:32+00:00,FTMUSDT,LONG,NEW,BUY,0.22,0.2134,1279.0
76647,2022-10-03 01:51:01+00:00,AAVEUSDT,LONG,NEW,,,,
76646,2022-10-03 01:50:57+00:00,ENJUSDT,LONG,NEW,BUY,0.4404,0.4272,639.0
76659,2022-10-03 02:00:09+00:00,BANDUSDT,LONG,NEW,BUY,1.2,1.16,234.0
76663,2022-10-03 02:01:18+00:00,COMPUSDT,LONG,CLOSE,SELL,0.0,0.0,0.0
76662,2022-10-03 02:01:13+00:00,BANDUSDT,LONG,CLOSE,SELL,0.0,0.0,0.0
76665,2022-10-03 02:01:48+00:00,FTMUSDT,LONG,CLOSE,SELL,0.0,0.0,0.0
76664,2022-10-03 02:01:45+00:00,HBARUSDT,OPEN_ORDER,CLOSE,,,,
76667,2022-10-03 02:04:21+00:00,AVAXUSDT,OPEN_ORDER,CLOSE,,,,
76668,2022-10-03 02:04:33+00:00,DOTUSDT,OPEN_ORDER,CLOSE,,,,
